,en
physics_and_energy_1,Электричество
physics_and_energy_2,Выработка электроэнергии
physics_and_energy_3,Дизельные двигатели
physics_and_energy_4,Синтетические полимеры
physics_and_energy_5,Квантовая теория
,
factory_production_1,Частичная автоматизация
factory_production_2,Управление персоналом
factory_production_3,Сборочные конвейеры
factory_production_4,Посменная работа
factory_production_5,Передовое оборудование
,
metallurgy_1,Конвертерные печи
metallurgy_2,Электрометаллургия
metallurgy_3,Передовая очистка стали
metallurgy_4,Дуговые электропечи
metallurgy_5,Передовая выплавка стали
,
infrastructure_1,Железные дороги
infrastructure_2,Национальная ЖД система
infrastructure_3,ЖД магистрали
infrastructure_4,Ранние автобаны
infrastructure_5,Современные автобаны
,
economic_structures_1,Смешанная экономика
economic_structures_2,Автаркия
economic_structures_3,Централизованное планирование
economic_structures_4,Импортозамещающая индустриализация
economic_structures_5,Современная модель экономики
,
army_managerement_1,Доктрина маневренной войны
army_managerement_2,Эластичная оборона
army_managerement_3,Проникновение в тыл противника
army_managerement_4,Доктрина мобильных соединений
army_managerement_5,Современная военная тактика
,
heavy_weapon_1,Тяжелая артиллерия
heavy_weapon_2,Воздушный флот
heavy_weapon_3,Экспериментальные танки
heavy_weapon_4,Батальонная артиллерия
heavy_weapon_5,Современное тяжелое вооружение
,
light_weapon_1,Магазинные винтовки
light_weapon_2,Вооружение Первой мировой
light_weapon_3,Межвоенная пехота
light_weapon_4,Межвоенная кавалерия
light_weapon_5,Современное стрелковое оружие
,
ship_design_1,Стальные корабли
ship_design_2,Тяжелые стальные корабли
ship_design_3,Дизельные корабли
ship_design_4,Современные стальные корабли
ship_design_5,Современное кораблестроение
,
fleet_management_1,Современный военно-морской контроль
fleet_management_2,Доктрина генерального сражения
fleet_management_3,Взаимодействие кораблей в море
fleet_management_4,Современное обучение моряков
fleet_management_5,Доктрина огневой мощи
,
airplanes,Самолеты
artillery,Артиллерия
cavalry,Кавалерия
infantry,Пехота
tanks,Танки
,
battleship,Линкор
cruiser,Крейсер
dreadnought,Дредноут
ironclad,Броненосец
submarine,Подводная лодка
